iter	RMSE
0	1048.177855
1	965.2195089
2	888.5506757
3	819.7796401
4	757.7286594
5	702.1494469
6	653.1164653
7	612.2456788
8	571.8182086
9	534.1900903
10	504.8711908
11	475.0026398
12	451.0326778
13	430.1937249
14	407.7297962
15	389.5130233
16	380.2514456
17	370.0189078
18	353.5717441
19	338.6032223
20	331.5094683
21	318.3609282
22	307.9267464
23	297.5902874
24	287.9997908
25	279.7949925
26	275.9065915
27	271.2491168
28	266.8793533
29	264.98957
30	263.5072533
31	259.0864438
32	255.2104826
33	249.4912327
34	243.5487617
35	239.1436465
36	235.3795235
37	232.717818
38	230.2059326
39	227.7076416
40	225.8571738
41	223.6818832
42	219.5133852
43	216.1153301
44	213.2323925
45	210.7308308
46	208.9124117
47	207.2144431
48	204.517782
49	201.5659037
